,Week,Team,Player,Slot,Pos,Status,Proj,Actual
79,1,6,Dak Prescott,0,QB,INJURY_RESERVE,19.680924298,17.64
80,1,6,Jonathan Taylor,2,RB,ACTIVE,10.681267382,14.899999999999999
81,1,6,Devin Singletary,23,Flex,ACTIVE,11.344708714,10.3
82,1,6,Ravens D/ST,16,Def,NA,7.695530335,13.0
83,1,6,Golden Tate,20,Bench,ACTIVE,0.0,0.0
84,1,6,Ryquell Armstead,20,Bench,OUT,0.0,0.0
85,1,6,Curtis Samuel,20,Bench,OUT,9.7673854715,9.3
86,1,6,Darius Slayton,4,WR,ACTIVE,9.299430091,28.200000000000003
87,1,6,Ryan Succop,17,K,ACTIVE,7.304136509999999,4.0
88,1,6,Sony Michel,20,Bench,ACTIVE,7.7529866501,9.7
89,1,6,Damiere Byrd,20,Bench,ACTIVE,6.7780421639999995,0.0
90,1,7,Alvin Kamara,2,RB,ACTIVE,19.590307519000003,23.700000000000003
91,1,7,Josh Jacobs,2,RB,QUESTIONABLE,18.191540158,35.9
92,1,7,George Kittle,6,TE,INJURY_RESERVE,15.966755359499999,9.3
93,1,7,Tyler Lockett,4,WR,ACTIVE,14.6321521448,17.200000000000003
94,1,7,T.Y. Hilton,4,WR,ACTIVE,14.477736927000002,9.3
95,1,7,Jarvis Landry,4,WR,ACTIVE,13.618373595,11.100000000000001
96,1,7,Julian Edelman,23,Flex,OUT,13.1113735895,13.0
97,1,7,Josh Allen,0,QB,ACTIVE,19.837554840000003,28.18
98,1,7,Brandin Cooks,20,Bench,QUESTIONABLE,8.849839361700003,4.0
99,1,7,Jamison Crowder,20,Bench,ACTIVE,11.98786259,24.5
100,1,7,Marlon Mack,20,Bench,INJURY_RESERVE,10.7821881575,8.6
101,1,7,Jalen Reagor,20,Bench,ACTIVE,7.3216701757000004,6.5
102,1,7,Wil Lutz,17,K,ACTIVE,8.816846551000001,10.0
103,1,7,Eagles D/ST,16,Def,NA,9.358191814,5.0
104,1,7,Carson Wentz,20,Bench,ACTIVE,18.075751893,13.0
105,1,8,Saquon Barkley,2,RB,INJURY_RESERVE,19.186692195,12.6
106,1,8,Chris Godwin,4,WR,QUESTIONABLE,16.922714410999998,13.9
107,1,8,Travis Kelce,6,TE,ACTIVE,16.963534000999996,17.0
108,1,8,JuJu Smith-Schuster,4,WR,ACTIVE,14.596111185000002,24.9
109,1,8,James Conner,2,RB,ACTIVE,16.209423106,3.7
110,1,8,DK Metcalf,4,WR,ACTIVE,13.069759497100002,19.5
111,1,8,Marvin Jones Jr.,23,Flex,ACTIVE,13.542880179500001,9.5
112,1,8,David Montgomery,20,Bench,ACTIVE,10.176079567999999,8.4
113,1,8,Aaron Rodgers,20,Bench,ACTIVE,16.166206326,30.759999999999998
114,1,8,Steelers D/ST,16,Def,NA,8.820342956000001,11.0
115,1,8,Jordan Howard,20,Bench,ACTIVE,8.754691416,6.7
116,1,8,Anthony Miller,20,Bench,ACTIVE,8.6735067124,17.6
117,1,8,Alexander Mattison,20,Bench,OUT,4.908952880800001,12.0
118,1,8,Kyler Murray,0,QB,ACTIVE,17.995451657,26.300000000000004
119,1,8,Chris Boswell,17,K,QUESTIONABLE,7.841909901,9.0
120,1,9,Ezekiel Elliott,2,RB,QUESTIONABLE,20.481691391000002,27.700000000000003
121,1,9,DeAndre Hopkins,4,WR,ACTIVE,15.760627905100002,29.1
122,1,9,Mike Evans,4,WR,QUESTIONABLE,12.454216526000002,7.2
123,1,9,David Johnson,2,RB,ACTIVE,14.867528787000001,19.9
124,1,9,Evan Engram,6,TE,ACTIVE,11.693786000200001,2.9
125,1,9,A.J. Green,4,WR,ACTIVE,12.080830946,10.100000000000001
126,1,9,Marquise Brown,23,Flex,ACTIVE,11.850069142,15.100000000000001
127,1,9,Drew Brees,0,QB,INJURY_RESERVE,17.518832848099997,14.4
128,1,9,Hunter Henry,20,Bench,ACTIVE,9.924253486000003,12.3
