,Week,Team,Player,Slot,Pos,Status,Proj,Actual
81,1,6,Sammy Watkins,20,Bench,ACTIVE,10.717115397699999,46.8
82,1,6,Jared Cook,6,TE,ACTIVE,10.679145775000002,5.7
83,1,6,Bills D/ST,16,Def,NA,6.655091970999999,12.0
84,1,6,Miles Sanders,20,Bench,QUESTIONABLE,10.253761781,3.7
85,1,6,Wil Lutz,17,K,ACTIVE,9.567419632,14.0
86,1,6,Devonta Freeman,23,Flex,ACTIVE,14.335962946,4.1000000000000005
87,1,6,Kenyan Drake,20,Bench,ACTIVE,13.131430247,4.7
88,1,6,Devin Singletary,20,Bench,ACTIVE,10.116021825,14.8
89,1,6,Albert Wilson,20,Bench,ACTIVE,8.5148007327,3.4000000000000004
90,1,7,Christian McCaffrey,2,RB,ACTIVE,20.959282922000003,42.9
91,1,7,JuJu Smith-Schuster,4,WR,ACTIVE,18.039474586,13.8
92,1,7,Kerryon Johnson,23,Flex,ACTIVE,14.968090783000003,8.200000000000001
93,1,7,Tyler Boyd,4,WR,ACTIVE,14.1355637949,14.3
94,1,7,Vance McDonald,6,TE,ACTIVE,9.575599203,6.0
95,1,7,Matt Ryan,20,Bench,ACTIVE,17.5558978004,18.560000000000002
96,1,7,Sterling Shepard,20,Bench,ACTIVE,13.8786587976,10.2
97,1,7,Marvin Jones Jr.,20,Bench,QUESTIONABLE,12.188846924,10.0
98,1,7,Eagles D/ST,16,Def,NA,8.107981258,0.0
99,1,7,Stefon Diggs,20,Bench,ACTIVE,14.331195488,5.7
100,1,7,Duke Johnson,20,Bench,ACTIVE,12.313012123,13.0
101,1,7,Robbie Gould,17,K,ACTIVE,7.9852082310000005,11.0
102,1,7,Kyler Murray,0,QB,ACTIVE,17.883930577999998,21.62
103,1,7,Joe Mixon,2,RB,ACTIVE,16.231848105,3.7
104,1,7,Odell Beckham Jr.,4,WR,QUESTIONABLE,16.2875372455,14.100000000000001
105,1,8,David Johnson,2,RB,ACTIVE,19.411101584000004,25.700000000000003
106,1,8,Davante Adams,4,WR,ACTIVE,16.944905000000002,7.6
107,1,8,Nick Chubb,2,RB,ACTIVE,17.655834067,11.5
108,1,8,George Kittle,6,TE,ACTIVE,14.889676217999998,13.4
109,1,8,Damien Williams,23,Flex,ACTIVE,12.186201061999999,18.5
110,1,8,Chris Godwin,4,WR,QUESTIONABLE,12.59416925,14.3
111,1,8,Alshon Jeffery,20,Bench,QUESTIONABLE,12.220765912000001,22.1
112,1,8,Aaron Rodgers,0,QB,ACTIVE,15.944781335999998,12.920000000000002
113,1,8,Phillip Lindsay,20,Bench,QUESTIONABLE,11.870687790000002,10.600000000000001
114,1,8,Christian Kirk,20,Bench,ACTIVE,10.338802065600001,10.4
115,1,8,Dede Westbrook,4,WR,ACTIVE,12.533759862999998,14.2
116,1,8,Ka'imi Fairbairn,17,K,ACTIVE,8.702349347,4.0
117,1,8,Vikings D/ST,16,Def,NA,4.710992034,16.0
118,1,8,Michael Gallup,20,Bench,ACTIVE,10.025585721,22.8
119,1,8,LeSean McCoy,20,Bench,ACTIVE,5.1217352325,10.3
120,2,1,Alvin Kamara,2,RB,ACTIVE,20.831770348000003,7.0
121,2,1,Travis Kelce,6,TE,ACTIVE,20.136662433999998,23.700000000000003
122,2,1,Antonio Brown,4,WR,ACTIVE,13.295201381999998,16.1
123,2,1,T.Y. Hilton,4,WR,ACTIVE,13.342860080000003,14.3
124,2,1,Brandin Cooks,4,WR,ACTIVE,14.374831336400002,16.6
125,2,1,Marlon Mack,2,RB,ACTIVE,13.105331906,8.3
126,2,1,Calvin Ridley,20,Bench,QUESTIONABLE,12.521611156399999,24.5
127,2,1,Carson Wentz,0,QB,QUESTIONABLE,20.084051547,17.54
128,2,1,Greg Zuerlein,17,K,ACTIVE,9.552016739,9.0
129,2,1,Courtland Sutton,20,Bench,ACTIVE,11.364838339,8.0
130,2,1,Emmanuel Sanders,20,Bench,ACTIVE,10.6670846403,28.8
131,2,1,Matt Breida,20,Bench,ACTIVE,12.74031163,14.200000000000001
